 iter    JT            dJT           ga_int        dt
  291    0.01966696    0.00011093    0.00278541    2.22
  292    0.01955684    0.00011012    0.00277562    2.32
  293    0.01944752    0.00010932    0.00276590    2.14
  294    0.01933899    0.00010853    0.00275626    2.28
  295    0.01923124    0.00010775    0.00274670    2.30
  296    0.01912426    0.00010698    0.00273720    2.23
  297    0.01901805    0.00010621    0.00272777    2.27
  298    0.01891260    0.00010545    0.00271843    2.23
  299    0.01880789    0.00010471    0.00270915    2.24
  300    0.01870393    0.00010397    0.00269993    2.20
  301    0.01860070    0.00010323    0.00269078    2.20
  302    0.01849819    0.00010251    0.00268169    2.19
  303    0.01839639    0.00010179    0.00267266    2.12
  304    0.01829531    0.00010108    0.00266370    2.10
  305    0.01819493    0.00010038    0.00265480    2.28
  306    0.01809524    0.00009969    0.00264596    2.06
  307    0.01799624    0.00009900    0.00263717    2.12
  308    0.01789792    0.00009832    0.00262846    2.18
  309    0.01780028    0.00009765    0.00261981    2.05
  310    0.01770330    0.00009698    0.00261121    2.19
  311    0.01760698    0.00009632    0.00260267    2.16
  312    0.01751131    0.00009567    0.00259418    2.14
  313    0.01741629    0.00009502    0.00258575    2.19
  314    0.01732191    0.00009438    0.00257738    2.19
  315    0.01722816    0.00009375    0.00256906    2.04
  316    0.01713504    0.00009312    0.00256079    2.10
  317    0.01704255    0.00009250    0.00255257    2.05
  318    0.01695066    0.00009188    0.00254441    2.02
  319    0.01685939    0.00009127    0.00253629    2.14
  320    0.01676872    0.00009067    0.00252823    2.13
  321    0.01667865    0.00009007    0.00252021    1.92
  322    0.01658918    0.00008948    0.00251223    1.95
  323    0.01650029    0.00008889    0.00250430    2.05
  324    0.01641198    0.00008831    0.00249643    1.88
  325    0.01632425    0.00008773    0.00248860    2.05
  326    0.01623708    0.00008716    0.00248081    1.53
  327    0.01615049    0.00008660    0.00247307    1.60
  328    0.01606445    0.00008604    0.00246536    1.60
  329    0.01597897    0.00008548    0.00245771    1.62
  330    0.01589404    0.00008493    0.00245010    1.59
  331    0.01580966    0.00008438    0.00244254    1.58
  332    0.01572581    0.00008384    0.00243502    1.56
